,codeCompagnie,NbrSinistre,typeIntermediaire,VolontaireAccidents,CountSinisterAdvr,naturePolice,Etat_Police,vehicule_id,assure_id,classeBonusMalus,CONTRAT_EN_COURS,puissanceFiscal,energie,etatVehicule,libUsage,identificationTiers,pourcentadeDeResponsabilite,porcentageCompagnieAdverse,natureDuSinistre,annee_dateOuvertureDuSinistre,Duree,Fraud,annee_effet_police,mois_effet_police,jour_effet_police,annee_date_Calcule,mois_date_Calcule,jour_date_Calcule,mois_dateOuvertureDuSinistre,jour_dateOuvertureDuSinistre,mois_dateEcheancePolice,jour_dateEcheancePolice
22159,6,1,1,1.0,1,0,2,1057880,1041125,6,0,4,2,1,8,0,100,0,1,2017,1437,0,2015,4,25,2019,4,1,12,11,4,25
22160,6,1,1,1.0,1,0,2,1058154,1041410,3,1,5,2,1,8,0,0,100,1,2017,1095,0,2016,10,1,2019,10,1,8,24,10,1
22161,6,1,1,1.0,1,0,2,1058278,1041195,5,0,10,3,1,13,0,100,0,1,2017,1821,0,2014,3,6,2019,3,1,3,9,3,6
22162,6,1,1,1.0,1,0,2,1058329,1041597,4,1,9,2,1,8,0,100,0,1,2017,2175,0,2013,8,17,2019,8,1,7,26,8,17
22163,6,1,1,1.0,1,0,2,1058423,1041708,5,1,4,2,1,8,0,100,0,1,2017,1452,0,2015,3,10,2019,3,1,7,6,3,10
22164,6,1,1,1.0,1032,0,2,1058432,1041717,3,0,6,2,1,8,0,0,100,1,2017,708,1,2017,6,23,2019,6,1,8,25,6,23
22165,6,1,1,1.0,1,0,2,1058447,1041736,2,0,8,3,1,8,0,0,100,1,2017,1458,0,2015,7,4,2019,7,1,2,14,7,4
22166,6,1,1,1.0,1,0,0,1058504,1041803,5,1,10,3,1,13,0,100,0,1,2017,0,0,2015,11,15,2015,11,15,2,6,11,15
22167,6,1,1,1.0,1,0,2,746379,1041805,2,0,6,3,1,13,0,0,100,1,2017,1403,0,2015,11,28,2019,10,1,2,22,11,28
22168,6,1,1,1.0,1,0,2,1058802,1041801,5,0,5,2,1,8,0,0,100,1,2017,710,0,2017,4,21,2019,4,1,9,18,4,21
22169,6,1,1,1.0,1,0,2,1058813,1042181,8,1,5,2,1,8,0,100,0,1,2017,1056,0,2016,12,10,2019,11,1,5,2,12,10
22170,6,1,1,1.0,1,0,2,1058835,1042209,8,1,5,3,1,8,0,0,100,1,2017,0,0,2017,5,26,2017,5,26,7,3,5,26
22171,6,1,1,1.0,1,0,2,1059067,1042491,1,1,10,3,1,8,0,0,100,1,2017,3626,0,2009,10,27,2019,10,1,11,16,10,27
22172,6,1,1,1.0,1,0,0,1059146,1042495,1,1,8,3,1,13,0,0,100,1,2017,1461,0,2013,7,12,2017,7,12,6,9,7,12
22173,6,1,1,1.0,1,0,2,1059233,1042661,3,1,12,3,1,8,0,0,100,1,2017,1792,0,2014,12,5,2019,11,1,12,8,12,5
22174,6,1,1,1.0,1,0,2,1059252,1042688,3,1,4,2,1,8,0,0,100,1,2017,2168,0,2013,9,24,2019,9,1,2,6,9,24
22175,6,1,1,1.0,1,0,2,1059259,1042693,4,0,7,3,1,8,0,100,0,1,2017,1432,0,2015,6,30,2019,6,1,10,31,6,30
22176,6,1,1,1.0,1033,0,2,1035539,1042851,5,1,5,2,1,8,0,50,50,1,2017,711,1,2017,9,20,2019,9,1,11,13,9,20
22177,6,1,1,1.0,1,0,2,1059705,1043207,3,1,6,3,1,8,0,100,0,1,2017,4381,0,2007,8,3,2019,8,1,5,4,8,3
22178,6,1,1,1.0,1,0,2,1059802,1043017,3,1,7,2,1,8,0,0,100,1,2017,1061,0,2016,11,4,2019,10,1,6,13,11,4
22179,6,1,1,1.0,1,0,2,1059928,1043448,6,0,4,2,1,8,0,100,0,1,2017,1804,0,2014,7,23,2019,7,1,3,8,7,23
22180,6,2,1,2.0,1,0,2,1059928,1043448,6,0,4,2,1,8,0,100,0,1,2017,1804,1,2014,7,23,2019,7,1,9,15,7,23
22181,6,1,1,1.0,1,0,2,1494156,1043477,6,0,6,3,1,8,0,100,0,1,2017,1096,0,2015,1,31,2018,1,31,12,25,1,31
22182,6,1,1,1.0,1,0,2,1059961,1043486,1,0,5,2,1,8,0,0,100,1,2017,3272,0,2010,4,16,2019,4,1,11,20,4,16
22183,6,1,1,1.0,1,0,2,1060039,1043578,1,0,7,2,1,8,0,0,100,1,2017,2897,0,2011,10,26,2019,10,1,12,27,10,26
22184,6,1,1,1.0,1,0,2,1060084,1043636,3,1,6,3,1,8,0,100,0,1,2017,1391,0,2014,9,9,2018,7,1,9,16,9,9
22185,6,1,1,1.0,1,0,0,1060328,1043936,4,1,8,3,1,13,0,100,0,1,2017,1096,0,2014,4,3,2017,4,3,11,28,4,3
22186,6,1,1,1.0,1,0,2,1060353,1043972,6,0,5,2,1,8,0,100,0,1,2017,724,0,2017,4,7,2019,4,1,12,25,4,7
22187,6,1,1,1.0,1,0,0,692008,1044026,8,1,5,3,1,8,0,100,0,1,2018,0,0,2017,5,25,2017,5,25,2,15,5,25
22188,6,1,1,1.0,1,0,0,503090,1044056,8,1,6,3,1,8,0,100,0,1,2017,0,0,2017,1,24,2017,1,24,5,4,1,24
22189,6,1,1,1.0,1,0,2,1180637,1231726,7,0,5,2,1,8,0,0,100,1,2017,2162,0,2013,5,30,2019,5,1,5,23,5,30
22190,6,1,1,1.0,1034,0,2,624632,1231767,2,1,5,3,1,8,0,100,0,1,2017,4737,1,2006,9,12,2019,9,1,7,18,9,12
22191,6,1,1,1.0,1,0,2,1180860,1231939,1,0,4,2,1,8,0,0,100,1,2017,5819,0,2003,4,26,2019,4,1,7,24,4,26
22192,6,1,1,1.0,1,0,2,1181003,1232070,4,0,6,3,1,8,0,100,0,1,2017,4349,0,2007,11,4,2019,10,1,4,28,11,4
22193,6,1,1,1.0,1,0,0,331783,1232101,2,1,4,2,1,8,0,100,0,1,2017,0,0,2008,12,26,2008,12,26,3,2,5,27
22194,6,1,1,1.0,1,0,2,1181066,1232127,2,0,4,2,1,8,0,0,100,1,2017,3287,0,2010,6,1,2019,6,1,6,16,6,1
22195,6,1,1,1.0,1,0,2,1181113,1037520,3,0,5,2,1,8,0,100,0,1,2017,2176,0,2013,3,16,2019,3,1,9,11,3,16
22196,6,2,1,2.0,1,0,2,1181113,1037520,3,0,5,2,1,8,0,0,100,1,2017,2176,1,2013,3,16,2019,3,1,12,21,3,16
22197,6,1,1,1.0,1035,0,2,1181332,1232392,1,1,4,2,1,8,0,0,100,1,2018,0,1,1994,6,15,1994,6,15,1,11,6,15
22198,6,1,1,1.0,1,0,2,1181365,1036873,2,0,7,3,1,13,0,100,0,1,2017,6185,0,2002,6,25,2019,6,1,5,16,6,25
22199,6,1,1,1.0,1,0,2,1181412,1232469,1,1,6,2,1,8,0,0,100,1,2017,5102,0,2005,8,12,2019,8,1,9,26,8,12
22200,6,1,1,1.0,1,0,0,1181551,1036676,1,1,16,3,1,5,0,0,100,1,2017,0,0,2010,11,19,2010,11,19,4,28,1,1
22201,6,1,1,1.0,1,0,2,1181673,1232749,1,1,4,2,1,8,0,0,100,1,2017,4347,0,2008,2,6,2020,1,1,3,21,2,6
22202,6,2,1,2.0,1,0,2,1181673,1232749,1,1,4,2,1,8,0,100,0,1,2017,4347,1,2008,2,6,2020,1,1,5,2,2,6
22203,6,1,1,1.0,1,0,0,1181715,1232786,3,1,9,2,1,8,0,100,0,1,2017,0,0,2010,1,9,2010,1,9,4,29,1,9
22204,6,2,1,2.0,1,0,0,1181715,1232786,3,1,9,2,1,8,0,0,100,1,2017,0,1,2010,1,9,2010,1,9,8,28,1,9
22205,6,1,2,1.0,1,0,2,1062321,1046273,6,0,4,2,1,8,0,0,100,1,2017,2147,0,2013,11,14,2019,10,1,7,3,11,12
